time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-06T04:47:57.486Z,36.7445,36.4537,10,4.4,mb,48,148,0.741,1.13,us,us6000jlns,2023-02-06T05:09:29.040Z,"8 km SW of Hassa, Turkey",earthquake,3.53,1.92,0.106,26,reviewed,us,us
2023-02-06T04:24:22.499Z,57.8489,-156.7557,144.6,2.6,ml,,,,0.16,ak,ak0231p9erm1,2023-02-06T04:52:03.040Z,"53 km NE of Ugashik, Alaska",earthquake,,0.5,,,automatic,ak,ak
2023-02-06T04:18:46.788Z,38.2034,38.5363,14.464,5,mb,95,44,1.472,0.86,us,us6000jlnf,2023-02-06T04:59:50.111Z,"eastern Turkey",earthquake,6.57,4.287,0.057,99,reviewed,us,us
2023-02-06T04:16:49.487Z,37.5032,37.3323,13.215,4.5,mb,57,74,0.345,0.76,us,us6000jlnd,2023-02-06T04:39:00.585Z,"3 km ENE of Pazarcık, Turkey",earthquake,5.37,5.371,0.093,34,reviewed,us,us
2023-02-06T04:04:23.657Z,37.7879,37.4088,14.137,4.3,mb,39,106,0.635,0.58,us,us6000jlnc,2023-02-06T04:20:28.040Z,"11 km ENE of Çağlayancerit, Turkey",earthquake,6.11,5.858,0.109,24,reviewed,us,us
2023-02-06T03:45:48.563Z,38.1983,38.5977,15.415,4.8,mb,97,66,1.504,0.75,us,us6000jln9,2023-02-06T04:33:27.159Z,"18 km N of Sincik, Turkey",earthquake,5.44,4.074,0.07,63,reviewed,us,us
2023-02-06T03:32:15.796Z,26.4267,125.9658,126.894,4.2,mb,23,84,2.105,0.6,us,us6000jln4,2023-02-06T03:54:08.040Z,"northeast of Taiwan",earthquake,3.73,10.47,0.215,6,reviewed,us,us
2023-02-06T03:28:46.802Z,38.0757,38.5607,15.951,4.4,mb,26,145,1.402,0.58,us,us6000jln5,2023-02-06T04:23:56.040Z,"6 km NW of Sincik, Turkey",earthquake,5.98,5.029,0.149,13,reviewed,us,us
2023-02-06T03:04:45.466Z,38.1844,38.4761,17.922,4.7,mb,91,66,1.425,0.86,us,us6000jln0,2023-02-06T03:36:13.040Z,"20 km NW of Sincik, Turkey",earthquake,6.21,4.213,0.067,67,reviewed,us,us
2023-02-06T02:59:46.780Z,40.4551659,-124.0111694,22.49,2.52,md,15,199,0.09184,0.13,nc,nc73842451,2023-02-06T05:16:13.918Z,"9km ESE of Rio Dell, CA",earthquake,0.91,0.73,0.19,10,automatic,nc,nc
2023-02-06T02:55:55.570Z,18.0456666666667,-66.791,12.8,2.74,md,16,141,0.1095,0.13,pr,pr71395498,2023-02-06T03:45:09.660Z,"2 km N of Guayanilla, Puerto Rico",earthquake,0.28,0.45,0.0775088971766205,7,reviewed,pr,pr
2023-02-06T02:54:00.615Z,36.6379,36.3874,10,4.6,mb,87,72,0.848,1,us,us6000jlmv,2023-02-06T04:57:12.221Z,"15 km E of Denizciler, Turkey",earthquake,6.37,1.884,0.064,74,reviewed,us,us
2023-02-06T02:30:54.240Z,19.2628326416016,-155.40299987793,28.8700008392334,3,ml,49,124,,0.150000006,hv,hv73320042,2023-02-06T04:32:45.099Z,"10 km NE of Pāhala, Hawaii",earthquake,0.6,0.74000001,3.24,31,automatic,hv,hv
2023-02-06T02:23:14.645Z,37.2035,36.9702,11.411,5.2,mb,107,36,0.194,0.81,us,us6000jlmn,2023-02-06T03:22:25.602Z,"21 km E of Nurdağı, Turkey",earthquake,5.15,4.282,0.061,88,reviewed,us,us
